No;Judul;Jenis Paper;Kualitas Jurnal / Indeks;Penulis;Tahun Terbit;Rumusan Masalah;Metode;Hasil Pembahasan;Kelebihan;Kekurangan;Ringkasan Jurnal
1;The Dark (Patterns) Side of UX Design;Jurnal / Prosiding;Jurnal Internasional (ACM CHI Conference);Colin M. Gray, Yubo Kou, Bryan Battles, Joseph Hoggatt, Austin L. Toombs;2018;Membahas mengenai kurangnya kosakata dan kerangka kerja bagi komunitas akademik untuk mendeskripsikan serta menilai aspek kritis dari sisi etika dalam praktik User Experience (UX) sehari-hari. Penelitian ini bertujuan untuk menguraikan dan mengeksplorasi batasan-batasan dari fenomena etis dark patterns, di mana nilai tambah bagi kenyamanan pengguna justru digantikan atau dikorbankan demi mengejar keuntungan pemegang saham perusahaan semata.;Penelitian dilakukan berbasis praktik (practice-led research). Peneliti mengumpulkan sebuah korpus yang berisi 118 contoh nyata dark patterns yang dilaporkan secara langsung oleh para praktisi dari berbagai sumber daring (media sosial, blog, situs berita, darkpatterns.org). Kumpulan data tersebut kemudian dianalisis menggunakan metode analisis isi (perbandingan konstan dan analisis dokumen) untuk menentukan strategi dan motivasi etis di balik desain tersebut.;Analisis terhadap korpus ini secara resmi mengungkap lima kategori utama dari strategi dark patterns, yakni nagging (gangguan persisten/berulang), obstruction (hambatan tugas), sneaking (penyembunyian informasi secara licik), interface interference (gangguan antarmuka visual yang menipu), dan forced action (tindakan paksaan). Temuan ini menyoroti bahwa para desainer UX dapat dengan sangat mudah menjadi kaki tangan perusahaan dalam menyusun praktik desain yang manipulatif atau eksploitatif, sehingga memunculkan desakan kuat akan pentingnya pendidikan etika keprofesian bagi para praktisi UX.;Memanfaatkan data korpus langsung dari keluhan dan laporan para praktisi UX di lapangan, sehingga klasifikasi kategori manipulasi yang dihasilkan sangat otentik, relevan dengan dunia industri nyata, dan berhasil menjadi rujukan dasar bagi banyak penelitian etika UX lainnya.;Karena mengambil sampel contoh dari kumpulan keluhan di internet dan platform khusus pelapor manipulasi, data tersebut mungkin memiliki sedikit bias karena hanya mengumpulkan kasus-kasus ekstrem atau taktik yang paling sering dilaporkan saja oleh komunitas.;Jurnal ini mengumpulkan 118 kasus nyata antarmuka manipulatif untuk merumuskan bahasa akademis dalam menilai etika User Experience (UX). Penelitian ini berhasil mengidentifikasi lima strategi utama dark patterns (seperti nagging, obstruction, hingga forced action) dan memberikan peringatan keras bahwa desainer UX saat ini sangat rentan terjebak menjadi kaki tangan perusahaan dalam mengeksploitasi konsumen demi mengejar metrik keuntungan semata.
2;Dark patterns Ğ An end user perspective;Tesis (Master Thesis);Tingkat Internasional (UmeŒ University, Swedia);Maximilian Maier;2019;Bagaimana pengguna akhir memandang, mengalami, dan merespons keberadaan dark patterns? Penelitian ini bertujuan untuk mengeksplorasi tingkat kesadaran pengguna terhadap teknik manipulatif tersebut serta untuk mengetahui pola mana yang dianggap pantas secara etis untuk diterapkan oleh perusahaan dan mana yang dianggap tidak dapat dimaafkan oleh pengguna.;Penelitian ini menggunakan pendekatan metode kualitatif eksploratif. Pengumpulan data dilakukan melalui penyelenggaraan focus group (kelompok diskusi terarah) dan wawancara individu semi-terstruktur. Data yang telah terkumpul kemudian diproses dan dikelompokkan menggunakan metode analisis tematik.;Hasil analisis menunjukkan bahwa meskipun pengguna memiliki sedikit kesadaran, masih banyak teknik manipulatif yang sama sekali tidak diketahui oleh mereka. Para partisipan menyalahkan perusahaan yang menggunakan teknik tersebut, namun juga menyadari bahwa mereka turut bertanggung jawab atas nasib mereka sendiri (karena kurang teliti). Tingkat penerimaan terhadap teknik ini berubah-ubah tergantung pada jenis dark pattern yang dihadapi, di mana pengguna sering kali merasa terpaksa harus menerima keadaan manipulatif tersebut karena mereka sangat bergantung pada suatu situs web atau aplikasi.;Memberikan suara langsung kepada pengguna akhir melalui penyelenggaraan focus group dan wawancara, sehingga memberikan wawasan yang sangat mendalam mengenai reaksi emosional dan tingkat penerimaan konsumen terhadap manipulasi yang jarang disentuh dari sudut pandang korporat.;Karena merupakan tesis dengan metode kualitatif (wawancara dan diskusi kelompok) pada jumlah partisipan yang relatif kecil, hasilnya mungkin tidak dapat dengan mudah digeneralisasi untuk populasi yang jauh lebih besar atau pada budaya negara lain di luar konteks penelitian.;Tesis ini berfokus pada pandangan pengguna akhir mengenai desain manipulatif (dark patterns). Melalui pendekatan kualitatif, penelitian ini menemukan bahwa masih banyak pengguna yang tidak sadar akan taktik manipulasi ini. Menariknya, meskipun pengguna menyalahkan perusahaan atas praktik licik tersebut, mereka juga merasa bertanggung jawab atas kecerobohan mereka sendiri dan sering kali terpaksa menerima keadaan manipulatif karena ketergantungan pada layanan aplikasi tersebut.
3;User Interface and User Experience of Indosport Mobile Applications Using a User Centered Design Approach;Jurnal; Jurnal Nasional sinta 5;Muhammad Raffi Fadli, Wandah Wibawanto;2020;Mengatasi kebutuhan masyarakat Indonesia yang sangat antusias terhadap olahraga (khususnya sepak bola) akan wadah atau aplikasi komunitas yang menyediakan kualitas informasi akurat serta bebas dari interaksi tidak terfilter.;Menggunakan metode rancangan User Centered Design (UCD) yang menempatkan pengguna sebagai fokus utama. Proses berfokus pada tahapan pra-produksi (seperti pembuatan wireframe dan user flow), produksi (penerapan ilustrasi visual dan bahasa rupa desain), hingga pasca-produksi berupa perancangan prototipe aplikasi interaktif.;Menghasilkan purwarupa antarmuka (UI/UX) aplikasi seluler Indosport yang komunikatif, terdiri dari fitur News, Activity, Calendar, dan Profile. Rancangan dievaluasi berdasarkan kesederhanaan, kecepatan, dan kepuasan pengguna akhir, kemudian didistribusikan untuk dikembangkan oleh departemen IT Indosport.;Pendekatannya sangat berorientasi pada praktik pembuatan dengan tahapan perancangan antarmuka yang sangat terstruktur, sehingga langsung menghasilkan purwarupa aplikasi nyata yang siap digunakan oleh komunitas olahraga.;Evaluasi penelitian lebih dominan berfokus pada aspek keindahan visual, kecepatan, dan fungsionalitas dasar aplikasi, belum menyentuh isu-isu manipulasi atau etika desain tingkat lanjut.;Penelitian ini menjabarkan proses dari hulu ke hilir mengenai perancangan antarmuka dan pengalaman pengguna (UI/UX) untuk aplikasi seluler Indosport. Melalui metode User Centered Design, penelitian menghasilkan purwarupa yang berfokus pada kemudahan navigasi bagi penggemar olahraga untuk mengakses berita dan interaksi komunitas tanpa hambatan.
4;UI Dark Patterns and Where to Find Them: A Study on Mobile Applications and User Perception;Jurnal / Prosiding;Jurnal Internasional (ACM CHI);Linda Di Geronimo, Larissa Braz, Enrico Fregnan, Fabio Palomba, Alberto Bacchelli;2020;Menyelidiki seberapa umum Dark Patterns diterapkan dalam berbagai aplikasi berbasis seluler yang populer di masyarakat, sekaligus menguji kemampuan para pengguna apakah mereka menyadari kehadiran elemen antarmuka tipuan (fenomena DP-blindness).;Mengevaluasi 240 sampel aplikasi seluler gratis teratas dari Google Play (dengan melakukan tindakan aktif cognitive walk-through). Selain itu, riset ini melakukan uji eksperimen daring terhadap 589 pengguna untuk memahami tingkat kepekaan dan persepsi mereka atas taktik tersebut.;Menemukan bahwa sekitar 95% aplikasi populer tersebut memuat sedikitnya satu jenis Dark Patterns, bahkan secara rata-rata setiap aplikasi memiliki 7 elemen manipulasi UIs sekaligus. Hasil pengujian menyimpulkan bahwa mayoritas konsumen tidak mampu menyadari kehadiran bentuk tipuan manipulatif ini secara naluriah, akan tetapi performa pengenalan pengguna dapat meningkat tajam bila telah diinformasikan atau diedukasi mengenai model Dark Patterns sebelumnya.;Skala penelitiannya sangat masif dan solid karena mengevaluasi ratusan sampel aplikasi seluler papan atas serta melibatkan ratusan responden dalam pengujian daring, memberikan landasan data yang tidak bisa dibantah.;Karena cakupan aplikasinya luas dan bersifat internasional, temuan pengguna di dalam riset ini mungkin kurang merepresentasikan lokalisasi budaya atau kebiasaan khusus dari pengguna di wilayah negara-negara berkembang.;Riset berskala besar pada pasar aplikasi seluler top dunia ini membuktikan fakta bahwa 95% aplikasi populer memuat strategi desain manipulatif. Hasil yang paling disoroti adalah fakta miris bahwa mayoritas konsumen secara alami mengalami kebutaan persepsi (blindness) dan tidak mampu mendeteksi manipulasi tersebut tanpa diedukasi.
5;UI Dark Patterns and Where to Find Them: A Study on Mobile Applications and User Perception;Jurnal / Prosiding;Jurnal Internasional (ACM CHI Conference);Linda Di Geronimo, Larissa Braz, Enrico Fregnan, Fabio Palomba, Alberto Bacchelli;2020;Membuka diskursus akademis mengenai fenomena manipulasi antarmuka melalui dua sudut pandang baru yang belum dikaji sebelumnya: (1) Seberapa dominan atau umum taktik Dark Patterns diterapkan dalam aplikasi seluler populer saat ini? (2) Apakah para pengguna menyadari dan mampu mengenali kehadiran desain manipulatif tersebut saat mereka menggunakannya (fenomena DP-blindness)?;Terbagi dalam dua tahap penelitian. Pertama, mengevaluasi keberadaan Dark Patterns pada 240 sampel aplikasi seluler gratis teratas di platform Google Play Store dengan melakukan proses inspeksi aktif (merekam dan mengklasifikasikan penggunaan langsung secara cognitive walk-through). Kedua, menyelenggarakan eksperimen daring melalui survei terhadap 589 partisipan untuk menguji tingkat persepsi serta kebutaan kognitif mereka terhadap jebakan Dark Patterns tersebut.;Hasil analisis secara mencengangkan membuktikan bahwa 95% dari aplikasi seluler populer yang diteliti telah memuat setidaknya satu bentuk Dark Patterns, di mana secara rata-rata setiap aplikasi memuat 7 tipe antarmuka yang manipulatif sekaligus. Sementara itu, dari hasil eksperimen daring, ditemukan fakta bahwa mayoritas pengguna sama sekali tidak mampu mendeteksi keberadaan UI manipulatif tersebut secara naluriah (terjangkit DP-blindness). Namun, performa mereka dalam mengenali jebakan desain ini meningkat secara pesat apabila mereka telah diinformasikan atau diedukasi sebelumnya mengenai isu tersebut.;Menawarkan kombinasi metode yang sangat kuat antara audit langsung pada ratusan aplikasi populer di pasaran dan penyelenggaraan eksperimen skala besar pada persepsi ratusan pengguna, sehingga kesimpulan yang dihasilkan sangat valid dan berbasis bukti nyata.;Penelitian ini secara khusus mengabaikan analisis motivasi dari sisi pembuat aplikasi atau desainer antarmuka, karena murni hanya mengukur prevalensi keberadaan fitur manipulasi dan reaksi persepsi dari pengguna yang terkena dampaknya.;"Studi berskala besar ini mengaudit 240 aplikasi seluler populer dan menemukan fakta mengejutkan bahwa 95% dari aplikasi tersebut menyembunyikan setidaknya satu taktik manipulasi desain. Lebih lanjut, eksperimen dari penelitian ini membuktikan bahwa pengguna secara alami menderita ""kebutaan"" terhadap dark patterns, di mana mereka tidak sadar sedang dimanipulasi kecuali mereka telah diberikan edukasi sebelumnya mengenai bahaya tersebut."
6;Dark Patterns for Influencing Developer Behavior;Jurnal / Prosiding;Jurnal Internasional (ACM);Chris Brown, Chris Parnin;2021;Membahas realita bahwa banyak software engineer atau developer sering mengambil keputusan yang buruk dan tidak etis di dalam proses pekerjaannya (misalnya menolak pemakaian otomatisasi penganalisis kode), di samping menyoroti tidak efektifnya saran otomatis dari bot konvensional.;Membandingkan dua pendekatan interdisipliner dalam ilmu psikologi perilaku, yakni Nudge theory (pendekatan rekomendasi persuasif tanpa larangan opsi) dan Dark Patterns (antarmuka manipulatif). Penulis juga merancang purwarupa recommender bots (bot rekomendasi) berbasis dark pattern.;Dalam konteks spesifik mengawasi alur kerja internal developer, pengaplikasian teknik tekanan halus bergaya dark patterns pada alat otomasi dapat secara kontroversial digunakan untuk memaksa pemrogram mengambil keputusan etis dan memodifikasi perilaku pengerjaan kode mereka ke arah yang jauh lebih efisien.;Menawarkan sudut pandang yang sangat unik dan provokatif, yaitu menggunakan teknik manipulatif (dark patterns) bukan untuk merugikan pelanggan, melainkan untuk tujuan positif yaitu memaksa teknisi perangkat lunak bekerja lebih baik.;Penerapan konsep paksaan psikologis ini dapat memicu perdebatan moral atau pelanggaran etis di lingkungan tempat kerja, karena pada dasarnya alat ini tetap menggunakan prinsip penipuan antarmuka kepada para pekerjanya.;Artikel ini mengeksplorasi gagasan kontroversial untuk menerapkan taktik antarmuka manipulatif pada bot rekomendasi internal sistem perusahaan guna memengaruhi, menekan, dan mengarahkan para pengembang perangkat lunak agar mau mematuhi standar keamanan serta praktik pemrograman yang efisien.
7;Dark Patterns: Conceptualization and Future Research Directions;Jurnal;Jurnal Internasional (Business & Information Systems Engineering);Tim Kollmer, Andreas Eckhardt;2022;Menyoroti kebutuhan mendesak bagi para peneliti dan praktisi Sistem Informasi (IS) untuk lebih memahami cakupan penuh dari dark patterns serta membatasi penerapannya oleh organisasi guna melindungi pengguna. Oleh karena itu, penelitian ini bertujuan untuk membangun sebuah konseptualisasi dan pemahaman terpadu mengenai dark patterns serta mengidentifikasi tantangan spesifik dan arah penelitian masa depan bagi komunitas bisnis dan sistem informasi.;Menggunakan metode tinjauan literatur dan analisis konseptual untuk menyusun kerangka dark patterns. Penelitian ini menstrukturkan berbagai peluang penelitian berdasarkan tiga pemangku kepentingan utama yang terlibat dalam ekosistem dark pattern, yaitu: pihak pengguna, pihak organisasi (perusahaan), dan pihak regulator (pembuat kebijakan/pemerintah).;"Penelitian ini mengusulkan konsep di mana dark patterns merugikan otonomi kehendak bebas pengguna dengan cara mencegah pilihan sadar melalui dua mekanisme utama: ""digital dark nudging"" (mendorong pilihan manipulatif) dan ""digital sludging"" (mempersulit atau menghambat pilihan pengguna). Kerangka ini membagi strateginya menjadi teknik manipulasi (komposisi antarmuka, komplikasi proses) dan teknik penipuan (pabrikasi info palsu, penghilangan opsi). Artikel ini kemudian merekomendasikan arah riset di masa depan terkait kerentanan psikologis pengguna, niat etis dari organisasi, dan langkah-langkah pembentukan regulasi yang kuat.";Menyediakan kerangka konseptual yang sangat kuat dan terstruktur untuk memetakan fenomena dark patterns ke dalam bahasa akademis Sistem Informasi, serta merumuskan arah penelitian masa depan yang sangat komprehensif bagi tiga pihak: pengguna, organisasi, dan regulator.;Penelitian ini sepenuhnya sebatas makalah tinjauan literatur (literature review) dan penyusunan kerangka konseptual teoretis, sehingga sama sekali tidak menyajikan data empiris baru, prototipe, atau hasil eksperimen secara langsung dari lapangan.;"Jurnal ini menata ulang pemahaman konseptual mengenai dark patterns dengan membaginya ke dalam dua mekanisme utama: ""digital dark nudging"" (mendorong pilihan secara manipulatif) dan ""digital sludging"" (mempersulit pengguna untuk mencapai tujuan). Peneliti mendesak komunitas Sistem Informasi untuk mulai memusatkan perhatian secara serius pada kerentanan psikologis pengguna, niat etika dari perusahaan, dan pembuatan regulasi yang ketat."
8;From Awareness to Action: Exploring End-User Empowerment Interventions for Dark Patterns in UX;Jurnal;Jurnal Internasional (ACM CSCW);Yuwen Lu, Chao Zhang, Yuewen Yang, Yaxing Yao, Toby Jia-Jun Li;2024;Bagaimana menciptakan intervensi perlindungan yang bukan bersandar dari desainer atau pembuat aturan, melainkan secara spesifik untuk meningkatkan kesadaran pengguna akhir agar bisa mengenali jebakan dark pattern dan memiliki fasilitas interaksi mandiri guna menangkal niat buruk tersebut?;"Memanfaatkan metodologi co-design (desain bersama) dalam dua fase. Fase awal meliputi 5 sesi lokakarya dengan 12 pengguna untuk membedah tantangan taktik dark patterns. Fase lanjutan menyelenggarakan pengujian perangkat teknologi eksperimen ekstensi peramban bernama ""DARK PITA"" selama 2 minggu penuh kepada 15 peserta yang mengandalkan fungsional web augmentation.";"Terdapat desakan nyata bahwa pelanggan bersedia belajar secara proaktif ihwal bahaya penipuan UI e-commerce. Menggunakan prototipe ""DARK PITA,"" pengguna merasa diuntungkan dan mendapatkan kembali kebebasannya secara otonom dalam menjelajah situs di internet. Fitur untuk mengubah alur navigasi atau mematikan visual jebakan di situs memberikan wawasan yang konkret mengenai perlawanan adaptif (citizen science) dari sisi pengguna akhir.";Sangat inovatif karena tidak menyuruh pembuat aplikasi untuk bertobat, melainkan langsung membekali pengguna akhir dengan senjata teknologi pelindung (ekstensi peramban) untuk menonaktifkan elemen manipulasi secara mandiri.;Implementasi teknologi penangkal pihak ketiga (web augmentation) ini masih dalam tahapan eksperimental dan sangat mungkin sulit dipasang atau digunakan oleh masyarakat awam yang memiliki literasi teknologi rendah.;"Berbeda dari pendekatan konvensional, studi ini merancang dan menguji intervensi teknologi berupa ekstensi peramban bernama ""DARK PITA"". Perangkat lunak ini secara sukses memberdayakan pengguna akhir untuk mendeteksi, memblokir, dan memodifikasi secara otonom paksaan visual dari antarmuka manipulatif saat mereka menjelajah situs web."
9;Studi Eksploratif Respons Pengguna Terhadap Strategi Desain Dark Patterns dan Bright Patterns Pada Antarmuka E-Commerce;Skripsi / Tugas Akhir;Tingkat Nasional (Universitas Islam Indonesia);Zahwa Almira Kayla;2025;(1) Elemen dark patterns apa yang umum digunakan pada platform e-commerce di Indonesia? (2) Bagaimana pola respons pengguna terhadap desain antarmuka dark patterns dan bright patterns?(3) Faktor-faktor apa yang memengaruhi respons pengguna terhadap kedua desain tersebut?;Penelitian ini menggunakan pendekatan kualitatif eksploratif dengan desain eksperimen within-subject (melalui pengujian prototipe langsung secara moderated user testing). Partisipan terdiri dari kelompok pengguna aktif e-commerce dan non-pengguna. Data diperoleh dari simulasi tugas pembelian dan wawancara semi-terstruktur, yang kemudian dianalisis menggunakan analisis tematik dengan kerangka emotional design (tingkat visceral, behavioral, dan reflective).;Pengguna aktif cenderung menormalisasi dan lebih menyukai dark patterns karena adanya efek bias familiaritas atau terbiasa dengan antarmuka tersebut. Desain dark patterns terbukti memicu urgensi dan perilaku impulsif. Sebaliknya, partisipan non-pengguna secara konsisten bersikap lebih kritis, merasa terintimidasi, dan menolak elemen dark patterns, serta lebih memilih bright patterns yang transparan. Namun, setelah diberikan edukasi singkat mengenai niat manipulatif pada desain, pengguna aktif mengalami pergeseran sikap dan beralih lebih memilih desain bright patterns.;Menggunakan metode eksperimen within-subject langsung dengan purwarupa sehingga respons pengguna sangat nyata dan aplikatif. Analisisnya juga mendalam karena membedah psikologi pengguna menggunakan kerangka emotional design secara terstruktur.;Skala jumlah partisipan mungkin terbatas karena formatnya berupa tugas akhir (skripsi) kualitatif, dan penelitian ini hanya berfokus pada respons pengguna tanpa menelaah kode etik desainer perusahaan e-commerce secara langsung.;Skripsi ini mengeksplorasi bagaimana pengguna e-commerce aktif dan non-aktif merespons antarmuka manipulatif (dark patterns) dibandingkan antarmuka transparan (bright patterns). Temuan utamanya adalah kebiasaan membuat pengguna aktif menormalisasi manipulasi antarmuka, namun pemberian edukasi singkat terbukti ampuh mengubah preferensi mereka untuk menuntut desain yang lebih transparan dan etis.
10;Analisis Mitigasi Dark Pattern Pada E-Commerce di Indonesia;Makalah Kebijakan;Tingkat Nasional (Kemendag);Supriyanto, Molid Nurman Hadi;2025;Menyoroti tantangan peningkatan transaksi digital yang diwarnai desain antarmuka yang memanipulasi keputusan konsumen. Fokus utamanya adalah mencari solusi dari kerugian finansial maupun psikologis pengguna, serta menganalisis lemahnya pengawasan praktik penjualan manipulatif tersebut di ekosistem digital.;Penelitian ini menggunakan pendekatan deskriptif kualitatif melalui instrumen studi literatur. Dilakukan juga benchmarking regulasi secara internasional (dengan membandingkan negara Uni Eropa, Korea Selatan, India, dan AS) dan penerapan cost-benefit analysis.;Analisis membuktikan bahwa saat ini Indonesia belum memiliki regulasi yang secara eksplisit melarang dark pattern, sehingga pengawasannya masih bersifat reaktif. Berdasarkan benchmarking global, rekomendasinya mencakup pembentukan definisi legal dan larangan resmi dark pattern, penerapan pedoman UI/UX, kewajiban audit tahunan antarmuka bagi platform digital, serta pemanfaatan deteksi manipulasi berbasis Kecerdasan Buatan (AI) guna melindungi konsumen.;Memberikan tinjauan praktis dari kacamata pemangku kebijakan publik dan ekonomi negara, serta dilengkapi dengan perbandingan (benchmarking) kerangka regulasi internasional yang komprehensif.;Pendekatan metodologinya lebih bersifat deskriptif dari studi literatur dan telaah kebijakan, sehingga sama sekali tidak memiliki pengujian langsung (uji coba antarmuka) kepada pengguna akhir aplikasi.;Makalah kebijakan ini menyoroti kekosongan hukum di Indonesia terkait larangan praktik dark patterns di e-commerce, kemudian merekomendasikan pemerintah untuk segera membuat regulasi spesifik, mewajibkan audit antarmuka secara berkala, serta memanfaatkan deteksi Kecerdasan Buatan (AI) demi melindungi konsumen.
